name,link
healthy,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/healthy
hibachi,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/hibachi
home-and-personal-care,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/home-and-personal-care
hotpot,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/hotpot
ice-cream-and-frozen-yogurt,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/ice-cream-and-frozen-yogurt
indian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/indian
indian-curry,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/indian-curry
indonesian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/indonesian
irish,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/irish
italian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/italian
jamaican,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/jamaican
japanese,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/japanese
japanese-curry,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/japanese-curry
jewish,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/jewish
juice-and-smoothies,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/juice-and-smoothies
kebabs,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/kebabs
kids-friendly,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/kids-friendly
korean,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/korean
korean-bbq,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/korean-bbq
kosher,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/kosher
lasagne,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/lasagne
late-night,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/late-night
latin-american,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/latin-american
latin-fusion,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/latin-fusion
lebanese,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/lebanese
liquor,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/liquor
lobster,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/lobster
low-calorie,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/low-calorie
low-carb,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/low-carb
mac-and-cheese,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/mac-and-cheese
malaysian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/malaysian
matcha,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/matcha
mediterranean,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/mediterranean
mexican,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/mexican
middle-eastern,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/middle-eastern
milkshake,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/milkshake
modern-asian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/modern-asian
modern-australian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/modern-australian
modern-european,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/modern-european
modern-french,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/modern-french
moroccan,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/moroccan
nepalese,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/nepalese
new-american,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/new-american
new-canadian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/new-canadian
new-mexican,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/new-mexican
nigerian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/nigerian
noodles,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/noodles
north-indian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/north-indian
northeastern-thai,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/northeastern-thai
northern-thai,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/northern-thai
organic,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/organic
oysters,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/oysters
paella,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/paella
pakistani,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/pakistani
pasta,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/pasta
pastry,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/pastry
persian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/persian
peruvian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/peruvian
pharmacy,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/pharmacy
pho,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/pho
pie,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/pie
pizza,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/pizza
poke,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/poke
polish,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/polish
pollo,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/pollo
portuguese,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/portuguese
poutine,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/poutine
pretzel,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/pretzel
pub,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/pub
puerto-rican,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/puerto-rican
ramen,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/ramen
raw,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/raw
ribs,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/ribs
rolls,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/rolls
rum,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/rum
russian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/russian
salad,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/salad
salmon,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/salmon
sandwich,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/sandwich
sashimi,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/sashimi
scottish,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/scottish
seafood,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/seafood
shanghai,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/shanghai
shawarma,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/shawarma
singaporean,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/singaporean
snacks,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/snacks
soul-food,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/soul-food
soup,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/soup
south-african,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/south-african
south-american,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/south-american
south-asian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/south-asian
south-east-asian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/south-east-asian
south-indian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/south-indian
southern,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/southern
southern-thai,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/southern-thai
spanish,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/spanish
spirits,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/spirits
sri-lankan,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/sri-lankan
street-food,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/street-food
sushi,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/sushi
swedish,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/swedish
sweets,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/sweets
taiwanese,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/taiwanese
tapas,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/tapas
tex-mex,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/tex-mex
thai,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/thai
traditional-american,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/traditional-american
turkish,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/turkish
udon,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/udon
vegan,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/vegan
vegan-friendly,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/vegan-friendly
vegetarian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/vegetarian
