name,url,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString,full_address
Chipotle Mexican Grill (121 4th St # 135),https://www.ubereats.com/store/chipotle-mexican-grill-121-4th-st-%23-135/OaaZ8_fwSfeDYdv3YeyrGQ,"['Healthy', 'Mexican']",4.6,100,$,37.7843653591518,-122.403553341607,+14155009635,94103,121 4Th St # 135,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '10:45', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:45', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94103', 'addressCountry': 'US', 'streetAddress': '121 4Th St # 135'}","{'@type': 'GeoCoordinates', 'latitude': 37.78436535915177, 'longitude': -122.40355334160658}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '100'}","Chipotle Mexican Grill (121 4th St # 135), 121 4Th St # 135, San Francisco, CA, 94103"
Curry Up Now - San Francisco,https://www.ubereats.com/store/curry-up-now-san-francisco/jCOPEIpeQxKFGc-19ceQow,"['Indian', 'Vegan Friendly', 'Vegetarian Friendly', 'Family Meals', 'Alcohol', 'Group Friendly']",4.8,100,$$,37.76235,-122.421515,+16505403600,94110,659 Valencia St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:50'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:50'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94110', 'addressCountry': 'US', 'streetAddress': '659 Valencia St'}","{'@type': 'GeoCoordinates', 'latitude': 37.76235, 'longitude': -122.421515}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","Curry Up Now - San Francisco, 659 Valencia St, San Francisco, CA, 94110"
Pork Store Cafe (16th St),https://www.ubereats.com/store/pork-store-cafe-16th-st/fLv41Q4gS2SRN0qja7P72A,"['Breakfast and Brunch', 'Sandwich', 'Salads', 'Healthy', 'Alcohol']",4.8,100,$$,37.765028,-122.422579,+14156265523,94103,3122 16th St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '8:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94103', 'addressCountry': 'US', 'streetAddress': '3122 16th St'}","{'@type': 'GeoCoordinates', 'latitude': 37.765028, 'longitude': -122.422579}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","Pork Store Cafe (16th St), 3122 16th St, San Francisco, CA, 94103"
Tea Hut,https://www.ubereats.com/store/tea-hut/29arLWZOTjKR-T0netu0sw,"['Bubble Tea', 'Coffee and Tea', 'Group Friendly']",4.9,100,$,37.7878727,-122.4408171,+14159627437,94115,2815 California St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94115', 'addressCountry': 'US', 'streetAddress': '2815 California St'}","{'@type': 'GeoCoordinates', 'latitude': 37.7878727, 'longitude': -122.4408171}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}","Tea Hut, 2815 California St, San Francisco, CA, 94115"
Rooster &amp; Rice (2nd St.),https://www.ubereats.com/store/rooster-%26-rice-2nd-st/2xD3qrCBRUORKy57dwc5SA,"['Thai', 'Asian', 'Healthy', 'Rice-bowls', 'Chicken']",4.9,81,$,37.78512,-122.3959545,+14157026364,94107,303 2nd St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94107', 'addressCountry': 'US', 'streetAddress': '303 2nd St'}","{'@type': 'GeoCoordinates', 'latitude': 37.78512, 'longitude': -122.3959545}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '81'}","Rooster &amp; Rice (2nd St.), 303 2nd St, San Francisco, CA, 94107"
Basa Seafood Express,https://www.ubereats.com/store/basa-seafood-express/AW9fV9x6Rcq1gBUNv7yBZQ,"['Seafood', 'Sushi', 'Japanese', 'Group Friendly']",4.9,100,$,37.752692,-122.413395,+14155502388,94110,3064 24th St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94110', 'addressCountry': 'US', 'streetAddress': '3064 24th St'}","{'@type': 'GeoCoordinates', 'latitude': 37.752692, 'longitude': -122.413395}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}","Basa Seafood Express, 3064 24th St, San Francisco, CA, 94110"
Boulevard Cafe,https://www.ubereats.com/store/boulevard-cafe/Ioh2YP3TS_6F9vXWRS7NhA,"['Burgers', 'American', 'Sandwiches', 'Family Friendly', 'Alcohol']",4.8,100,$,37.7039382,-122.4750224,+16507553400,94015,2 Poncetta Drive,Daly City,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Daly City', 'addressRegion': 'CA', 'postalCode': '94015', 'addressCountry': 'US', 'streetAddress': '2 Poncetta Drive'}","{'@type': 'GeoCoordinates', 'latitude': 37.7039382, 'longitude': -122.4750224}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","Boulevard Cafe, 2 Poncetta Drive, Daly City, CA, 94015"
Estrella Taqueria,https://www.ubereats.com/store/estrella-taqueria/OjEpO5zNRqSrHxNNAr_KEA,['Mexican'],4.8,100,$$,37.771856,-122.431042,+14158611455,94117,533 Haight St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '23:58'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94117', 'addressCountry': 'US', 'streetAddress': '533 Haight St'}","{'@type': 'GeoCoordinates', 'latitude': 37.771856, 'longitude': -122.431042}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","Estrella Taqueria, 533 Haight St, San Francisco, CA, 94117"
IHOP (2398 Junipero Serra Blvd),https://www.ubereats.com/store/ihop-2398-junipero-serra-blvd/y0sTFP6iQUuGJ7dYb3VO2Q,"['American', 'Breakfast and Brunch', 'burger', 'Comfort Food', 'Dinner', 'Omelette', 'salad', 'Traditional American', 'Family Meals', 'Family Friendly']",4.5,100,$,37.6934213,-122.471702,+16509928887,94015,2398 Junipero Serra Blvd,DALY CITY,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '0:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '6:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'DALY CITY', 'addressRegion': 'CA', 'postalCode': '94015', 'addressCountry': 'US', 'streetAddress': '2398 Junipero Serra Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 37.6934213, 'longitude': -122.471702}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '100'}","IHOP (2398 Junipero Serra Blvd), 2398 Junipero Serra Blvd, DALY CITY, CA, 94015"
Bonita Taqueria and Rotisserie Chestnut Street,https://www.ubereats.com/store/bonita-taqueria-and-rotisserie-chestnut-street/BArkqC4AR4u-J_cNnjgxqg,"['Mexican', 'Family Friendly', 'Alcohol']",4.7,68,$$,37.8001109,-122.4404473,+14158015599,94123,2257 Chestnut St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94123', 'addressCountry': 'US', 'streetAddress': '2257 Chestnut St'}","{'@type': 'GeoCoordinates', 'latitude': 37.8001109, 'longitude': -122.4404473}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '68'}","Bonita Taqueria and Rotisserie Chestnut Street, 2257 Chestnut St, San Francisco, CA, 94123"
Donburi Ya,https://www.ubereats.com/store/donburi-ya/T1OepPGJS-24neA9xyr_5g,"['Japanese: Other', 'Asian Fusion', 'Comfort Food']",4.8,100,$,37.7815264,-122.3990076,+14158962288,94107,764 Harrison St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94107', 'addressCountry': 'US', 'streetAddress': '764 Harrison St'}","{'@type': 'GeoCoordinates', 'latitude': 37.7815264, 'longitude': -122.3990076}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","Donburi Ya, 764 Harrison St, San Francisco, CA, 94107"
Glaze Donuts and Bagel Sandwiches,https://www.ubereats.com/store/glaze-donuts-and-bagel-sandwiches/WDf7sTqYQuS9desGyHmzqw,"['Bagels', 'Sandwich']",4.8,72,$,37.72625,-122.43336,+14153341144,94112,4499 Mission,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:15', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94112', 'addressCountry': 'US', 'streetAddress': '4499 Mission'}","{'@type': 'GeoCoordinates', 'latitude': 37.72625, 'longitude': -122.43336}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '72'}","Glaze Donuts and Bagel Sandwiches, 4499 Mission, San Francisco, CA, 94112"
HoDaLa,https://www.ubereats.com/store/hodala/-crlf8CtRPm7POJ0Ryoqhw,"['Taiwanese', 'Chinese', 'Noodles', 'Family Friendly']",4.6,29,$$,37.7800413,-122.4816957,+14157029510,94121,5801 Geary Blvd,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94121', 'addressCountry': 'US', 'streetAddress': '5801 Geary Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 37.7800413, 'longitude': -122.4816957}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '29'}","HoDaLa, 5801 Geary Blvd, San Francisco, CA, 94121"
Cinderella Bakery and Cafe,https://www.ubereats.com/store/cinderella-bakery-and-cafe/VFPpn50RTx2N1zl6ggzUIQ,"['European', 'Modern European', 'Sandwiches', 'Cafe', 'Bakery', 'Family Meals', 'Family Friendly']",4.7,100,$,37.777427,-122.4637,+14157519690,94118,436 Balboa St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:15', 'closes': '18:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:15', 'closes': '18:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94118', 'addressCountry': 'US', 'streetAddress': '436 Balboa St'}","{'@type': 'GeoCoordinates', 'latitude': 37.777427, 'longitude': -122.4637}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '100'}","Cinderella Bakery and Cafe, 436 Balboa St, San Francisco, CA, 94118"
Max's Restaurant of the Philippines - South San Francisco,https://www.ubereats.com/store/maxs-restaurant-of-the-philippines-south-san-francisco/e_oZcfnnRmOgJyu0mx9VFQ,"['Filipino', 'Allergy Friendly']",4.6,27,$$,37.656972,-122.43798,+16508726748,94080,1155 El Camino Real,South San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'South San Francisco', 'addressRegion': 'CA', 'postalCode': '94080', 'addressCountry': 'US', 'streetAddress': '1155 El Camino Real'}","{'@type': 'GeoCoordinates', 'latitude': 37.656972, 'longitude': -122.43798}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '27'}","Max's Restaurant of the Philippines - South San Francisco, 1155 El Camino Real, South San Francisco, CA, 94080"
