name,url,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString,full_address
Cafe De Casa,https://www.ubereats.com/store/cafe-de-casa/cmtz7Tw_Szam11e7YGDDTA,"['Brazilian', 'South American', 'Portuguese', 'Eats XL', 'Group Friendly']",4.8,69,$,37.76256,-122.43465,+14158297915,94114,3985 17th St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '16:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94114', 'addressCountry': 'US', 'streetAddress': '3985 17th St'}","{'@type': 'GeoCoordinates', 'latitude': 37.76256, 'longitude': -122.43465}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '69'}","Cafe De Casa, 3985 17th St, San Francisco, CA, 94114"
Nourish Cafe (Hyde St),https://www.ubereats.com/store/nourish-cafe-hyde-st/g7ueAEEIRMyjPiyNTcVy8w,"['Breakfast and Brunch', 'Juice and Smoothies', 'Gluten Free Friendly', 'Vegetarian Friendly', 'Vegan', 'Vegetarian', 'Healthy', 'Family Friendly', 'Alcohol', 'Group Friendly', 'Eats XL']",4.9,100,$$,37.790514,-122.417118,+14155807463,94109,1030 Hyde St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94109', 'addressCountry': 'US', 'streetAddress': '1030 Hyde St'}","{'@type': 'GeoCoordinates', 'latitude': 37.790514, 'longitude': -122.417118}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}","Nourish Cafe (Hyde St), 1030 Hyde St, San Francisco, CA, 94109"
Ben's Fast Food - San Francisco,https://www.ubereats.com/store/bens-fast-food-san-francisco/v0-qTRh0T5CpRQaihP1aug,"['Healthy', 'American', 'Fast Food', 'Gluten Free', 'Vegan', 'Vegetarian', 'Family Meals', 'Salads', 'Group Friendly']",4.9,100,$,37.7767175,-122.4023545,+14156448377,94107,"60 Morris St, San Francisco, USA",SF,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:30', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'SF', 'addressRegion': 'CA', 'postalCode': '94107', 'addressCountry': 'US', 'streetAddress': '60 Morris St, San Francisco, USA'}","{'@type': 'GeoCoordinates', 'latitude': 37.7767175, 'longitude': -122.4023545}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}","Ben's Fast Food - San Francisco, 60 Morris St, San Francisco, USA, SF, CA, 94107"
Mendocino Farms - San Francisco,https://www.ubereats.com/store/mendocino-farms-san-francisco/b8FBn8kpQFGapT4y0cDbPg,"['Sandwiches', 'American', 'Healthy']",4.8,100,$,37.7927585,-122.4023096,+14153212170,94104,465 California Street,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:45', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94104', 'addressCountry': 'US', 'streetAddress': '465 California Street'}","{'@type': 'GeoCoordinates', 'latitude': 37.7927585, 'longitude': -122.4023096}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","Mendocino Farms - San Francisco, 465 California Street, San Francisco, CA, 94104"
Za'atar Mediterranean,https://www.ubereats.com/store/zaatar-mediterranean/yTi-vftuS42CQsvyNrBkWQ,"['Mediterranean', 'Vegetarian Friendly', 'Greek', 'Healthy', 'Middle Eastern', 'Gluten Free Friendly', 'Salads', 'Vegan Friendly', 'French', 'Halal']",4.7,100,$,37.75076,-122.3941911,+14159487348,94124,1750 Cesar Chavez,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '22:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '22:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94124', 'addressCountry': 'US', 'streetAddress': '1750 Cesar Chavez'}","{'@type': 'GeoCoordinates', 'latitude': 37.75076, 'longitude': -122.3941911}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '100'}","Za'atar Mediterranean, 1750 Cesar Chavez, San Francisco, CA, 94124"
SweetHoney Dessert - Colma City,https://www.ubereats.com/store/sweethoney-dessert-colma-city/spxrHknBScWSyAD0i6s71A,"['Desserts', 'Family Friendly', 'Exclusive to Eats', 'Group Friendly']",4.9,100,$,37.6778563,-122.4695883,+16508222800,94014,15,Colma,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Colma', 'addressRegion': 'CA', 'postalCode': '94014', 'addressCountry': 'US', 'streetAddress': '15'}","{'@type': 'GeoCoordinates', 'latitude': 37.6778563, 'longitude': -122.4695883}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}","SweetHoney Dessert - Colma City, 15, Colma, CA, 94014"
Zero&amp;  Hayes,https://www.ubereats.com/store/zero%26-hayes/VXseNjmkRk-leNc_ZT1EhQ,"['Bubble Tea', 'Desserts', 'Drinks']",4.7,100,"",37.77668,-122.42428,+16286882388,94102,437 Hayes Street,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94102', 'addressCountry': 'US', 'streetAddress': '437 Hayes Street'}","{'@type': 'GeoCoordinates', 'latitude': 37.77668, 'longitude': -122.42428}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '100'}","Zero&amp;  Hayes, 437 Hayes Street, San Francisco, CA, 94102"
Philz Coffee (Civic Center),https://www.ubereats.com/store/philz-coffee-civic-center/GKkC3kmlQlW-QwaBGWiGrw,"['Cafe', 'Coffee and Tea', 'Breakfast and Brunch']",4.5,54,$$,37.7812917,-122.4169318,+14156217000,94102,399 Golden Gate Ave,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '17:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94102', 'addressCountry': 'US', 'streetAddress': '399 Golden Gate Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.7812917, 'longitude': -122.4169318}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '54'}","Philz Coffee (Civic Center), 399 Golden Gate Ave, San Francisco, CA, 94102"
Poke One,https://www.ubereats.com/store/poke-one/xRPRCclBQwiniyEsB0Ntgw,['Seafood'],4.9,100,$$,37.6396028,-122.4207406,+16506348728,94066,1230 El Camino Real,San Bruno,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Bruno', 'addressRegion': 'CA', 'postalCode': '94066', 'addressCountry': 'US', 'streetAddress': '1230 El Camino Real'}","{'@type': 'GeoCoordinates', 'latitude': 37.6396028, 'longitude': -122.4207406}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}","Poke One, 1230 El Camino Real, San Bruno, CA, 94066"
La Copa Loca Gelato,https://www.ubereats.com/store/la-copa-loca-gelato/cqMrefOhSGGe9sKNyOhI4Q,"['Ice Cream &amp; Frozen Yogurt', 'Comfort Food', 'Desserts']",,,$,37.75561,-122.41798,+14154017424,94110,3150 22nd St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '13:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94110', 'addressCountry': 'US', 'streetAddress': '3150 22nd St'}","{'@type': 'GeoCoordinates', 'latitude': 37.75561, 'longitude': -122.41798}",{},"La Copa Loca Gelato, 3150 22nd St, San Francisco, CA, 94110"
